DECEMBER 2025 FULL ANALYSIS - ALL COINS COMBINED

SETTINGS
Initial Capital,$100
Leverage,10x
Position Size,$1000 (based on current capital)
SL,0.75 ATR
TP,3 ATR (4:1 R:R)
Entry Condition,5c return < -2% AND position in range < 30%
Period,December 1-31 2025

SUMMARY
Total Signals Found,160
Actual Trades Taken,49
Signals Missed (blocked),111
Wins,7
Losses,40
Timeouts,2
Win Rate,14.3%
Initial Capital,$100
Final Capital,$47.73
Total P&L,$-52.27
Return,-52.3%

SIGNALS BY COIN
DOGEUSDT,Signals:44,Traded:29,Missed:15
NEARUSDT,Signals:72,Traded:18,Missed:54
ETHUSDT,Signals:44,Traded:2,Missed:42

ALL SIGNALS CHRONOLOGICAL (Traded + Missed)
Signal #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,5c Return %,Pos in Range %,Result,Was Traded?,Blocked By,Position Size,P&L,Capital After,Hypothetical P&L
19,ETHUSDT,2025-12-05 16:45:00,2025-12-05 17:30:00,$3031.690000,$3006.901964,-3.17%,21.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$110.95,$-9.07
20,DOGEUSDT,2025-12-05 17:00:00,2025-12-05 18:30:00,$0.138510,$0.137508,-2.77%,14.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$110.95,$-8.03
21,NEARUSDT,2025-12-05 17:00:00,2025-12-06 05:30:00,$1.670000,$1.672000,-2.40%,14.4%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$110.95,$1.33
22,ETHUSDT,2025-12-05 17:00:00,2025-12-05 19:00:00,$3013.610000,$2989.325000,-2.96%,10.4%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$110.95,$-8.94
23,DOGEUSDT,2025-12-07 14:15:00,2025-12-07 14:30:00,$0.135580,$0.135087,-2.43%,-81.6%,LOSS,YES,,$1109.46,$-4.04,$106.91,
24,NEARUSDT,2025-12-07 14:15:00,2025-12-07 14:30:00,$1.658000,$1.649268,-2.07%,-55.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$106.91,$-5.63
25,ETHUSDT,2025-12-07 14:15:00,2025-12-07 14:30:00,$2938.070000,$2925.457143,-3.39%,-261.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$106.91,$-4.59
26,DOGEUSDT,2025-12-07 14:30:00,2025-12-07 14:45:00,$0.135450,$0.134905,-2.18%,13.3%,LOSS,YES,,$1069.08,$-4.30,$102.61,
27,NEARUSDT,2025-12-07 14:30:00,2025-12-07 15:45:00,$1.649000,$1.687143,-2.08%,19.0%,WIN,NO,DOGEUSDT,(blocked),(blocked),$102.61,$23.73
28,ETHUSDT,2025-12-07 14:30:00,2025-12-07 15:45:00,$2946.780000,$3003.090000,-2.71%,28.9%,WIN,NO,DOGEUSDT,(blocked),(blocked),$102.61,$19.61
29,DOGEUSDT,2025-12-07 14:45:00,2025-12-07 15:30:00,$0.135080,$0.137388,-2.38%,5.9%,WIN,YES,,$1026.08,$17.53,$120.14,
30,NEARUSDT,2025-12-07 14:45:00,2025-12-07 15:45:00,$1.645000,$1.684857,-2.08%,12.7%,WIN,NO,DOGEUSDT,(blocked),(blocked),$120.14,$29.11
31,ETHUSDT,2025-12-07 14:45:00,2025-12-07 15:45:00,$2941.320000,$2999.451429,-2.91%,25.2%,WIN,NO,DOGEUSDT,(blocked),(blocked),$120.14,$23.74
32,DOGEUSDT,2025-12-07 21:45:00,2025-12-07 22:00:00,$0.139120,$0.138608,-2.11%,-30.5%,LOSS,YES,,$1201.39,$-4.42,$115.72,
33,NEARUSDT,2025-12-07 21:45:00,2025-12-07 22:00:00,$1.720000,$1.710625,-2.05%,-13.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$115.72,$-6.31
34,DOGEUSDT,2025-12-07 22:00:00,2025-12-08 01:15:00,$0.137290,$0.139909,-3.36%,-26.9%,WIN,YES,,$1157.16,$22.07,$137.79,
35,NEARUSDT,2025-12-07 22:00:00,2025-12-07 22:15:00,$1.704000,$1.693232,-3.51%,-7.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$137.79,$-8.71
36,ETHUSDT,2025-12-07 22:00:00,2025-12-07 22:15:00,$3041.890000,$3028.254464,-3.12%,-31.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$137.79,$-6.18
37,NEARUSDT,2025-12-07 22:15:00,2025-12-07 22:45:00,$1.701000,$1.690018,-3.90%,20.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$137.79,$-8.90
38,ETHUSDT,2025-12-07 22:15:00,2025-12-07 22:45:00,$3044.000000,$3030.013036,-2.74%,18.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$137.79,$-6.33
39,ETHUSDT,2025-12-07 22:30:00,2025-12-07 22:45:00,$3052.570000,$3037.827679,-2.07%,25.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$137.79,$-6.65
40,NEARUSDT,2025-12-07 22:45:00,2025-12-08 06:00:00,$1.695000,$1.746214,-2.14%,13.5%,WIN,NO,DOGEUSDT,(blocked),(blocked),$137.79,$41.63
41,ETHUSDT,2025-12-07 22:45:00,2025-12-08 01:15:00,$3031.640000,$3099.489286,-2.39%,8.9%,WIN,NO,DOGEUSDT,(blocked),(blocked),$137.79,$30.84
42,ETHUSDT,2025-12-08 15:45:00,2025-12-08 18:45:00,$3099.690000,$3079.224107,-2.14%,13.6%,LOSS,YES,,$1377.87,$-9.10,$128.69,
43,DOGEUSDT,2025-12-10 21:15:00,2025-12-10 22:00:00,$0.145620,$0.144154,-2.89%,11.6%,LOSS,YES,,$1286.89,$-12.96,$115.73,
44,ETHUSDT,2025-12-10 21:15:00,2025-12-10 22:15:00,$3355.500000,$3321.914464,-2.48%,23.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$115.73,$-11.58
45,NEARUSDT,2025-12-10 21:30:00,2025-12-10 22:00:00,$1.793000,$1.771304,-2.18%,25.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$115.73,$-14.00
46,DOGEUSDT,2025-12-10 21:45:00,2025-12-10 22:15:00,$0.144490,$0.142987,-2.65%,-9.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$115.73,$-12.04
47,NEARUSDT,2025-12-10 21:45:00,2025-12-10 22:15:00,$1.775000,$1.752929,-3.22%,-8.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$115.73,$-14.39
48,NEARUSDT,2025-12-11 00:30:00,2025-12-11 00:45:00,$1.726000,$1.713786,-2.32%,-20.4%,LOSS,YES,,$1157.32,$-8.19,$107.54,
49,NEARUSDT,2025-12-11 00:45:00,2025-12-11 01:15:00,$1.713000,$1.700625,-2.73%,-10.8%,LOSS,YES,,$1075.42,$-7.77,$99.77,
50,DOGEUSDT,2025-12-11 01:00:00,2025-12-11 02:00:00,$0.140070,$0.139228,-2.21%,-8.3%,LOSS,NO,NEARUSDT,(blocked),(blocked),$99.77,$-5.99
51,NEARUSDT,2025-12-11 01:00:00,2025-12-11 01:15:00,$1.710000,$1.697571,-2.73%,1.3%,LOSS,NO,NEARUSDT,(blocked),(blocked),$99.77,$-7.25
52,ETHUSDT,2025-12-11 01:00:00,2025-12-11 02:00:00,$3255.010000,$3239.676250,-2.04%,-1.6%,LOSS,NO,NEARUSDT,(blocked),(blocked),$99.77,$-4.70
53,DOGEUSDT,2025-12-11 01:15:00,2025-12-11 01:45:00,$0.140450,$0.139621,-2.06%,13.5%,LOSS,YES,,$997.73,$-5.89,$93.88,
54,NEARUSDT,2025-12-11 01:15:00,2025-12-11 01:45:00,$1.709000,$1.696946,-2.62%,8.4%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$93.88,$-6.62
55,NEARUSDT,2025-12-11 01:30:00,2025-12-11 01:45:00,$1.701000,$1.689536,-2.24%,4.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$93.88,$-6.33
56,NEARUSDT,2025-12-11 01:45:00,2025-12-11 02:00:00,$1.688000,$1.677071,-2.20%,-11.8%,LOSS,YES,,$938.82,$-6.08,$87.80,
57,ETHUSDT,2025-12-11 03:00:00,2025-12-11 14:30:00,$3179.310000,$3162.275893,-2.28%,-24.6%,LOSS,YES,,$878.03,$-4.70,$83.10,
58,NEARUSDT,2025-12-11 23:00:00,2025-12-12 00:00:00,$1.671000,$1.657982,-2.11%,10.0%,LOSS,YES,,$830.99,$-6.47,$76.63,
59,NEARUSDT,2025-12-12 15:15:00,2025-12-12 15:30:00,$1.636000,$1.626304,-3.59%,-65.9%,LOSS,YES,,$766.25,$-4.54,$72.08,
60,ETHUSDT,2025-12-12 15:15:00,2025-12-12 15:30:00,$3151.190000,$3138.586250,-2.57%,-96.3%,LOSS,NO,NEARUSDT,(blocked),(blocked),$72.08,$-2.88
61,DOGEUSDT,2025-12-12 15:30:00,2025-12-12 15:45:00,$0.137430,$0.136836,-2.00%,-7.8%,LOSS,YES,,$720.84,$-3.12,$68.97,
62,NEARUSDT,2025-12-12 15:30:00,2025-12-12 15:45:00,$1.638000,$1.627393,-3.65%,7.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$68.97,$-4.47
63,ETHUSDT,2025-12-12 15:30:00,2025-12-12 15:45:00,$3107.770000,$3091.228214,-3.58%,-43.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$68.97,$-3.67
64,DOGEUSDT,2025-12-12 15:45:00,2025-12-12 16:15:00,$0.135520,$0.134784,-3.76%,-22.1%,LOSS,YES,,$689.68,$-3.75,$65.22,
65,NEARUSDT,2025-12-12 15:45:00,2025-12-12 16:15:00,$1.608000,$1.595143,-5.52%,-17.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$65.22,$-5.21
66,ETHUSDT,2025-12-12 15:45:00,2025-12-12 16:15:00,$3070.000000,$3050.245000,-4.94%,-8.4%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$65.22,$-4.20
67,DOGEUSDT,2025-12-12 16:00:00,2025-12-12 16:15:00,$0.135910,$0.135140,-3.32%,16.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$65.22,$-3.69
68,NEARUSDT,2025-12-12 16:00:00,2025-12-12 16:15:00,$1.602000,$1.588661,-5.43%,4.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$65.22,$-5.43
69,ETHUSDT,2025-12-12 16:00:00,2025-12-12 16:15:00,$3071.780000,$3050.946071,-4.89%,11.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$65.22,$-4.42
70,DOGEUSDT,2025-12-12 16:15:00,2025-12-12 16:30:00,$0.135950,$0.135113,-2.70%,17.0%,LOSS,YES,,$652.22,$-4.02,$61.20,
71,NEARUSDT,2025-12-12 16:15:00,2025-12-12 16:30:00,$1.605000,$1.590696,-4.01%,7.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$61.20,$-5.45
72,ETHUSDT,2025-12-12 16:15:00,2025-12-12 16:30:00,$3082.910000,$3060.380000,-3.81%,16.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$61.20,$-4.47
73,DOGEUSDT,2025-12-12 16:30:00,2025-12-13 05:00:00,$0.134590,$0.137690,-2.41%,0.3%,TIMEOUT,YES,,$612.05,$14.10,$75.30,
74,NEARUSDT,2025-12-12 16:30:00,2025-12-13 03:30:00,$1.592000,$1.652429,-2.69%,7.9%,WIN,NO,DOGEUSDT,(blocked),(blocked),$75.30,$28.58
75,ETHUSDT,2025-12-12 16:30:00,2025-12-13 05:00:00,$3053.150000,$3088.490000,-3.11%,5.8%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$75.30,$8.72
76,NEARUSDT,2025-12-12 16:45:00,2025-12-13 05:15:00,$1.598000,$1.650000,-2.44%,12.7%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$75.30,$24.50
77,DOGEUSDT,2025-12-15 14:45:00,2025-12-15 15:00:00,$0.133540,$0.132887,-2.18%,-144.7%,LOSS,YES,,$753.02,$-3.68,$71.62,
78,ETHUSDT,2025-12-15 14:45:00,2025-12-15 15:00:00,$3046.750000,$3032.128750,-2.82%,-149.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$71.62,$-3.44
79,DOGEUSDT,2025-12-15 15:00:00,2025-12-15 15:15:00,$0.132650,$0.131931,-2.69%,1.6%,LOSS,YES,,$716.22,$-3.88,$67.74,
80,NEARUSDT,2025-12-15 15:00:00,2025-12-15 15:15:00,$1.564000,$1.553607,-2.49%,-5.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$67.74,$-4.50
81,ETHUSDT,2025-12-15 15:00:00,2025-12-15 15:15:00,$3033.280000,$3016.855536,-3.11%,2.8%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$67.74,$-3.67
82,DOGEUSDT,2025-12-15 15:15:00,2025-12-15 15:30:00,$0.130610,$0.129773,-4.57%,-21.1%,LOSS,YES,,$677.41,$-4.34,$63.40,
83,NEARUSDT,2025-12-15 15:15:00,2025-12-15 16:00:00,$1.537000,$1.524732,-4.77%,-24.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$63.40,$-5.06
84,ETHUSDT,2025-12-15 15:15:00,2025-12-15 16:30:00,$3000.070000,$2981.782857,-4.36%,-8.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$63.40,$-3.86
85,DOGEUSDT,2025-12-15 15:30:00,2025-12-15 16:00:00,$0.130980,$0.130077,-4.07%,11.9%,LOSS,YES,,$634.01,$-4.37,$59.03,
86,NEARUSDT,2025-12-15 15:30:00,2025-12-15 15:45:00,$1.541000,$1.528143,-4.46%,16.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$59.03,$-4.93
87,ETHUSDT,2025-12-15 15:30:00,2025-12-15 16:30:00,$3011.820000,$2992.524643,-3.73%,13.8%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$59.03,$-3.78
88,DOGEUSDT,2025-12-15 15:45:00,2025-12-15 16:30:00,$0.130640,$0.129678,-4.24%,12.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$59.03,$-4.35
89,NEARUSDT,2025-12-15 15:45:00,2025-12-15 16:30:00,$1.532000,$1.518179,-4.96%,7.1%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$59.03,$-5.33
90,ETHUSDT,2025-12-15 15:45:00,2025-12-15 16:30:00,$3009.480000,$2988.685179,-3.57%,15.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$59.03,$-4.08
91,DOGEUSDT,2025-12-15 16:00:00,2025-12-15 16:30:00,$0.130460,$0.129461,-2.31%,10.2%,LOSS,YES,,$590.31,$-4.52,$54.51,
92,NEARUSDT,2025-12-15 16:00:00,2025-12-15 16:30:00,$1.530000,$1.515857,-3.29%,5.1%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$54.51,$-5.04
93,DOGEUSDT,2025-12-17 16:00:00,2025-12-17 16:15:00,$0.128730,$0.127479,-4.25%,-8.2%,LOSS,YES,,$545.11,$-5.30,$49.21,
94,NEARUSDT,2025-12-17 16:00:00,2025-12-17 16:15:00,$1.523000,$1.506018,-3.91%,7.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$49.21,$-5.49
95,ETHUSDT,2025-12-17 16:00:00,2025-12-17 16:15:00,$2876.270000,$2850.022679,-3.93%,-4.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$49.21,$-4.49
96,DOGEUSDT,2025-12-17 16:15:00,2025-12-17 18:30:00,$0.126770,$0.125391,-6.59%,-26.0%,LOSS,YES,,$492.14,$-5.36,$43.86,
97,NEARUSDT,2025-12-17 16:15:00,2025-12-17 18:30:00,$1.496000,$1.477732,-6.67%,-20.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-5.36
98,ETHUSDT,2025-12-17 16:15:00,2025-12-17 18:30:00,$2847.040000,$2819.148571,-5.71%,-18.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-4.30
99,DOGEUSDT,2025-12-17 16:30:00,2025-12-17 19:00:00,$0.126540,$0.125118,-6.12%,7.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-4.93
100,NEARUSDT,2025-12-17 16:30:00,2025-12-17 18:45:00,$1.495000,$1.475982,-5.92%,4.1%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-5.58
101,ETHUSDT,2025-12-17 16:30:00,2025-12-17 18:45:00,$2845.510000,$2816.885179,-5.53%,1.1%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-4.41
102,DOGEUSDT,2025-12-17 16:45:00,2025-12-17 18:30:00,$0.127360,$0.125896,-3.76%,15.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-5.04
103,NEARUSDT,2025-12-17 16:45:00,2025-12-17 17:45:00,$1.512000,$1.492232,-3.14%,24.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-5.73
104,ETHUSDT,2025-12-17 16:45:00,2025-12-17 18:30:00,$2862.680000,$2833.241429,-3.00%,15.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-4.51
105,DOGEUSDT,2025-12-17 17:00:00,2025-12-17 18:30:00,$0.126800,$0.125290,-2.36%,10.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$43.86,$-5.22
106,DOGEUSDT,2025-12-18 17:00:00,2025-12-18 17:15:00,$0.125210,$0.124090,-3.29%,-78.8%,LOSS,YES,,$438.58,$-3.92,$39.93,
107,ETHUSDT,2025-12-18 17:00:00,2025-12-18 17:15:00,$2856.120000,$2825.819464,-3.64%,-86.8%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$39.93,$-4.24
108,DOGEUSDT,2025-12-18 17:15:00,2025-12-18 19:30:00,$0.122720,$0.121431,-5.10%,-39.6%,LOSS,YES,,$399.35,$-4.19,$35.74,
109,ETHUSDT,2025-12-18 17:15:00,2025-12-18 19:30:00,$2822.010000,$2790.983036,-4.27%,-19.8%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-3.93
110,DOGEUSDT,2025-12-18 17:30:00,2025-12-18 19:00:00,$0.123600,$0.122363,-3.95%,24.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-3.58
111,NEARUSDT,2025-12-18 17:30:00,2025-12-18 18:15:00,$1.529000,$1.507946,-2.18%,18.4%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-4.92
112,ETHUSDT,2025-12-18 17:30:00,2025-12-18 19:00:00,$2842.060000,$2812.214821,-3.16%,24.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-3.75
113,DOGEUSDT,2025-12-18 17:45:00,2025-12-18 19:00:00,$0.123560,$0.122363,-4.20%,24.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-3.46
114,NEARUSDT,2025-12-18 17:45:00,2025-12-18 18:15:00,$1.524000,$1.503000,-3.54%,12.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-4.92
115,ETHUSDT,2025-12-18 17:45:00,2025-12-18 19:00:00,$2844.450000,$2816.156250,-3.58%,25.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-3.56
116,NEARUSDT,2025-12-18 18:00:00,2025-12-18 18:15:00,$1.533000,$1.512482,-3.65%,23.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-4.78
117,NEARUSDT,2025-12-18 18:15:00,2025-12-18 18:45:00,$1.505000,$1.483946,-3.15%,-9.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-5.00
118,NEARUSDT,2025-12-18 18:30:00,2025-12-18 18:45:00,$1.498000,$1.477268,-2.54%,-5.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-4.95
119,NEARUSDT,2025-12-18 18:45:00,2025-12-18 19:30:00,$1.469000,$1.447839,-3.92%,-27.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-5.15
120,NEARUSDT,2025-12-18 19:00:00,2025-12-18 19:45:00,$1.460000,$1.440768,-4.20%,-2.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-4.71
121,NEARUSDT,2025-12-18 19:15:00,2025-12-18 19:30:00,$1.467000,$1.448304,-4.31%,5.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$35.74,$-4.55
122,DOGEUSDT,2025-12-18 19:30:00,2025-12-19 03:15:00,$0.120640,$0.125329,-2.75%,-8.8%,WIN,YES,,$357.40,$13.89,$49.63,
123,NEARUSDT,2025-12-18 19:30:00,2025-12-18 19:45:00,$1.447000,$1.427446,-3.85%,-4.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$49.63,$-6.71
124,DOGEUSDT,2025-12-18 19:45:00,2025-12-19 03:15:00,$0.120170,$0.124884,-3.24%,-5.2%,WIN,NO,DOGEUSDT,(blocked),(blocked),$49.63,$19.47
125,NEARUSDT,2025-12-18 19:45:00,2025-12-19 01:00:00,$1.428000,$1.407804,-4.67%,-13.4%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$49.63,$-7.02
126,ETHUSDT,2025-12-18 19:45:00,2025-12-19 03:15:00,$2780.400000,$2880.068571,-2.13%,-5.6%,WIN,NO,DOGEUSDT,(blocked),(blocked),$49.63,$17.79
127,NEARUSDT,2025-12-18 20:00:00,2025-12-18 23:30:00,$1.439000,$1.418804,-2.04%,13.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$49.63,$-6.97
128,NEARUSDT,2025-12-18 20:30:00,2025-12-19 01:00:00,$1.434000,$1.416643,-2.25%,9.3%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$49.63,$-6.01
129,NEARUSDT,2025-12-18 23:30:00,2025-12-19 01:00:00,$1.420000,$1.409018,-2.20%,-2.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$49.63,$-3.84
130,NEARUSDT,2025-12-19 17:45:00,2025-12-20 06:15:00,$1.506000,$1.516000,-2.33%,14.9%,TIMEOUT,YES,,$496.30,$3.30,$52.93,
131,NEARUSDT,2025-12-21 13:15:00,2025-12-21 13:30:00,$1.480000,$1.472500,-2.44%,-13.5%,LOSS,YES,,$529.26,$-2.68,$50.24,
132,NEARUSDT,2025-12-21 13:30:00,2025-12-21 13:45:00,$1.469000,$1.461179,-3.23%,-15.2%,LOSS,YES,,$502.44,$-2.68,$47.57,
133,NEARUSDT,2025-12-21 13:45:00,2025-12-21 22:30:00,$1.458000,$1.491214,-3.06%,-14.3%,WIN,YES,,$475.69,$10.84,$58.41,
134,NEARUSDT,2025-12-21 14:00:00,2025-12-21 15:30:00,$1.462000,$1.453161,-3.11%,11.8%,LOSS,NO,NEARUSDT,(blocked),(blocked),$58.41,$-3.53
135,NEARUSDT,2025-12-21 14:15:00,2025-12-21 15:30:00,$1.462000,$1.453268,-2.21%,11.8%,LOSS,NO,NEARUSDT,(blocked),(blocked),$58.41,$-3.49
136,NEARUSDT,2025-12-22 19:30:00,2025-12-22 19:45:00,$1.521000,$1.512857,-2.31%,-11.8%,LOSS,YES,,$584.05,$-3.13,$55.28,
137,DOGEUSDT,2025-12-22 19:45:00,2025-12-22 20:15:00,$0.131860,$0.131245,-2.29%,1.2%,LOSS,YES,,$552.78,$-2.58,$52.70,
138,NEARUSDT,2025-12-22 19:45:00,2025-12-22 20:15:00,$1.504000,$1.495536,-3.40%,-41.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$52.70,$-2.97
