JANUARY 2026 FULL ANALYSIS - ALL COINS COMBINED

SETTINGS
Initial Capital,$100
Leverage,10x
Position Size,$1000 (based on current capital)
SL,0.75 ATR
TP,3 ATR (4:1 R:R)
Entry Condition,5c return < -2% AND position in range < 30%
Period,January 1-27 2026

SUMMARY
Total Signals Found,91
Actual Trades Taken,40
Signals Missed (blocked),51
Wins,9
Losses,28
Timeouts,3
Win Rate,22.5%
Initial Capital,$100
Final Capital,$146.93
Total P&L,$46.93
Return,46.9%

SIGNALS BY COIN
DOGEUSDT,Signals:32,Traded:22,Missed:10
NEARUSDT,Signals:47,Traded:18,Missed:29
ETHUSDT,Signals:12,Traded:0,Missed:12

ALL SIGNALS CHRONOLOGICAL (Traded + Missed)
Signal #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,5c Return %,Pos in Range %,Result,Was Traded?,Blocked By,Position Size,P&L,Capital After,Hypothetical P&L
17,DOGEUSDT,2026-01-06 16:30:00,2026-01-06 17:45:00,$0.145230,$0.143589,-5.05%,20.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$191.31,$-21.62
18,NEARUSDT,2026-01-06 16:30:00,2026-01-06 17:45:00,$1.763000,$1.748161,-3.50%,-11.6%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$191.31,$-16.10
19,DOGEUSDT,2026-01-06 16:45:00,2026-01-06 17:45:00,$0.145440,$0.143754,-3.32%,21.5%,LOSS,YES,,$1913.12,$-22.18,$169.13,
20,DOGEUSDT,2026-01-06 17:00:00,2026-01-06 17:45:00,$0.145760,$0.144046,-2.76%,25.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$169.13,$-19.89
21,NEARUSDT,2026-01-07 00:45:00,2026-01-07 01:15:00,$1.768000,$1.759268,-2.10%,-32.4%,LOSS,YES,,$1691.29,$-8.35,$160.78,
22,NEARUSDT,2026-01-07 01:00:00,2026-01-07 01:15:00,$1.767000,$1.758268,-2.27%,4.2%,LOSS,NO,NEARUSDT,(blocked),(blocked),$160.78,$-7.95
23,DOGEUSDT,2026-01-07 10:00:00,2026-01-07 10:15:00,$0.148730,$0.147769,-3.06%,8.4%,LOSS,YES,,$1607.75,$-10.39,$150.39,
24,DOGEUSDT,2026-01-08 06:15:00,2026-01-08 06:45:00,$0.143660,$0.142931,-2.19%,-16.4%,LOSS,YES,,$1503.86,$-7.63,$142.76,
25,DOGEUSDT,2026-01-08 06:45:00,2026-01-08 07:00:00,$0.142460,$0.141689,-2.48%,-4.0%,LOSS,YES,,$1427.60,$-7.73,$135.03,
26,DOGEUSDT,2026-01-08 12:00:00,2026-01-08 14:15:00,$0.139380,$0.138523,-2.50%,28.3%,LOSS,YES,,$1350.34,$-8.30,$126.73,
27,NEARUSDT,2026-01-09 18:15:00,2026-01-10 04:00:00,$1.690000,$1.673018,-2.54%,-35.4%,LOSS,YES,,$1267.30,$-12.73,$114.00,
28,DOGEUSDT,2026-01-09 19:00:00,2026-01-10 07:30:00,$0.139350,$0.140130,-2.17%,9.3%,TIMEOUT,NO,NEARUSDT,(blocked),(blocked),$114.00,$6.38
29,NEARUSDT,2026-01-09 19:00:00,2026-01-10 04:00:00,$1.688000,$1.673536,-2.31%,7.7%,LOSS,NO,NEARUSDT,(blocked),(blocked),$114.00,$-9.77
30,NEARUSDT,2026-01-11 20:15:00,2026-01-11 21:00:00,$1.692000,$1.683429,-2.65%,-12.2%,LOSS,YES,,$1139.96,$-5.77,$108.22,
31,NEARUSDT,2026-01-11 20:30:00,2026-01-11 21:00:00,$1.692000,$1.683429,-2.31%,6.1%,LOSS,NO,NEARUSDT,(blocked),(blocked),$108.22,$-5.48
32,NEARUSDT,2026-01-12 08:15:00,2026-01-12 08:30:00,$1.711000,$1.701679,-2.00%,-2.2%,LOSS,YES,,$1082.21,$-5.90,$102.32,
33,DOGEUSDT,2026-01-12 08:30:00,2026-01-12 14:15:00,$0.136100,$0.135482,-2.30%,-50.3%,LOSS,YES,,$1023.25,$-4.64,$97.68,
34,NEARUSDT,2026-01-12 08:30:00,2026-01-12 09:45:00,$1.679000,$1.668661,-3.34%,-59.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$97.68,$-6.02
35,NEARUSDT,2026-01-12 08:45:00,2026-01-12 09:15:00,$1.689000,$1.678232,-2.03%,13.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$97.68,$-6.23
36,NEARUSDT,2026-01-12 09:15:00,2026-01-12 09:45:00,$1.677000,$1.665375,-2.10%,5.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$97.68,$-6.77
37,NEARUSDT,2026-01-12 09:30:00,2026-01-12 13:00:00,$1.673000,$1.661429,-2.22%,1.2%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$97.68,$-6.76
38,NEARUSDT,2026-01-15 03:30:00,2026-01-15 07:45:00,$1.748000,$1.787214,-2.46%,-17.9%,WIN,YES,,$976.81,$21.91,$119.59,
39,NEARUSDT,2026-01-15 03:45:00,2026-01-15 09:30:00,$1.749000,$1.788429,-2.24%,11.8%,WIN,NO,NEARUSDT,(blocked),(blocked),$119.59,$26.96
40,NEARUSDT,2026-01-15 14:30:00,2026-01-15 14:45:00,$1.772000,$1.763429,-2.05%,-53.8%,LOSS,YES,,$1195.95,$-5.78,$113.81,
41,DOGEUSDT,2026-01-15 15:15:00,2026-01-15 15:30:00,$0.141760,$0.141137,-2.02%,0.3%,LOSS,YES,,$1138.10,$-5.00,$108.81,
42,NEARUSDT,2026-01-15 15:15:00,2026-01-15 15:30:00,$1.751000,$1.740661,-2.78%,-22.0%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$108.81,$-6.43
43,NEARUSDT,2026-01-15 15:30:00,2026-01-15 15:45:00,$1.739000,$1.728071,-2.69%,-17.7%,LOSS,YES,,$1088.12,$-6.84,$101.97,
44,NEARUSDT,2026-01-15 16:00:00,2026-01-15 18:00:00,$1.734000,$1.721304,-2.25%,18.3%,LOSS,YES,,$1019.74,$-7.47,$94.51,
45,NEARUSDT,2026-01-15 16:15:00,2026-01-15 18:00:00,$1.730000,$1.717089,-2.37%,14.3%,LOSS,NO,NEARUSDT,(blocked),(blocked),$94.51,$-7.05
46,NEARUSDT,2026-01-15 18:45:00,2026-01-16 07:15:00,$1.708000,$1.741000,-2.23%,6.2%,TIMEOUT,YES,,$945.07,$18.26,$112.77,
47,NEARUSDT,2026-01-16 15:30:00,2026-01-16 15:45:00,$1.684000,$1.675321,-2.21%,-7.1%,LOSS,YES,,$1127.67,$-5.81,$106.96,
48,NEARUSDT,2026-01-16 15:45:00,2026-01-16 17:15:00,$1.685000,$1.675786,-2.03%,22.8%,LOSS,YES,,$1069.55,$-5.85,$101.11,
49,DOGEUSDT,2026-01-18 23:15:00,2026-01-18 23:30:00,$0.133390,$0.132864,-3.14%,-94.4%,LOSS,YES,,$1011.07,$-3.98,$97.12,
50,NEARUSDT,2026-01-18 23:15:00,2026-01-18 23:30:00,$1.677000,$1.668536,-2.95%,-66.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$97.12,$-4.90
51,DOGEUSDT,2026-01-18 23:30:00,2026-01-18 23:45:00,$0.133280,$0.132692,-3.01%,8.5%,LOSS,YES,,$971.23,$-4.28,$92.84,
52,NEARUSDT,2026-01-18 23:30:00,2026-01-18 23:45:00,$1.670000,$1.660732,-3.24%,-6.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$92.84,$-5.15
53,DOGEUSDT,2026-01-18 23:45:00,2026-01-19 00:00:00,$0.131560,$0.130893,-4.36%,-21.4%,LOSS,YES,,$928.41,$-4.71,$88.13,
54,NEARUSDT,2026-01-18 23:45:00,2026-01-19 00:00:00,$1.627000,$1.616071,-5.95%,-59.1%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$88.13,$-5.92
55,DOGEUSDT,2026-01-19 00:00:00,2026-01-19 12:30:00,$0.126230,$0.127990,-8.29%,-74.0%,TIMEOUT,YES,,$881.30,$12.29,$100.42,
56,NEARUSDT,2026-01-19 00:00:00,2026-01-19 12:30:00,$1.542000,$1.549000,-10.71%,-74.3%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$100.42,$4.56
57,ETHUSDT,2026-01-19 00:00:00,2026-01-19 00:15:00,$3216.710000,$3204.185000,-3.96%,-77.1%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$100.42,$-3.91
58,ETHUSDT,2026-01-19 00:15:00,2026-01-19 00:30:00,$3202.710000,$3187.738393,-3.75%,-8.5%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$100.42,$-4.69
59,ETHUSDT,2026-01-19 00:30:00,2026-01-19 01:45:00,$3219.210000,$3202.507500,-2.72%,24.4%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$100.42,$-5.21
60,ETHUSDT,2026-01-19 00:45:00,2026-01-19 01:45:00,$3210.670000,$3193.491786,-3.00%,20.1%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$100.42,$-5.37
61,ETHUSDT,2026-01-19 01:00:00,2026-01-19 01:45:00,$3215.010000,$3197.416071,-2.06%,22.9%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$100.42,$-5.50
62,DOGEUSDT,2026-01-21 12:15:00,2026-01-21 14:00:00,$0.121660,$0.123306,-2.05%,0.9%,WIN,YES,,$1004.18,$13.58,$114.00,
63,DOGEUSDT,2026-01-21 16:30:00,2026-01-21 17:00:00,$0.121240,$0.120318,-3.39%,-29.5%,LOSS,YES,,$1140.02,$-8.67,$105.33,
64,NEARUSDT,2026-01-21 16:30:00,2026-01-21 16:45:00,$1.502000,$1.489679,-2.91%,1.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$105.33,$-8.64
65,ETHUSDT,2026-01-21 16:30:00,2026-01-21 17:15:00,$2887.310000,$2866.079643,-3.45%,-34.7%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$105.33,$-7.74
66,DOGEUSDT,2026-01-21 16:45:00,2026-01-21 19:15:00,$0.120680,$0.124779,-4.05%,-9.0%,WIN,NO,DOGEUSDT,(blocked),(blocked),$105.33,$35.78
67,NEARUSDT,2026-01-21 16:45:00,2026-01-21 19:30:00,$1.494000,$1.547357,-3.24%,-10.0%,WIN,NO,DOGEUSDT,(blocked),(blocked),$105.33,$37.62
68,ETHUSDT,2026-01-21 16:45:00,2026-01-21 17:00:00,$2889.940000,$2867.318393,-3.37%,2.8%,LOSS,NO,DOGEUSDT,(blocked),(blocked),$105.33,$-8.24
69,DOGEUSDT,2026-01-21 17:00:00,2026-01-21 19:15:00,$0.120490,$0.124866,-4.61%,2.4%,WIN,YES,,$1053.27,$38.25,$143.58,
70,NEARUSDT,2026-01-21 17:00:00,2026-01-21 19:30:00,$1.491000,$1.546929,-3.93%,2.8%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$53.86
71,ETHUSDT,2026-01-21 17:00:00,2026-01-21 19:15:00,$2871.600000,$2968.725000,-4.32%,-8.7%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$48.56
72,DOGEUSDT,2026-01-21 17:15:00,2026-01-21 19:30:00,$0.121500,$0.126064,-3.11%,18.9%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$53.94
73,NEARUSDT,2026-01-21 17:15:00,2026-01-21 19:30:00,$1.494000,$1.551857,-3.24%,7.0%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$55.60
74,ETHUSDT,2026-01-21 17:15:00,2026-01-21 19:30:00,$2890.100000,$2991.444286,-3.05%,14.9%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$50.35
75,DOGEUSDT,2026-01-21 17:30:00,2026-01-21 19:30:00,$0.121690,$0.125864,-2.41%,23.0%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$49.25
76,NEARUSDT,2026-01-21 17:30:00,2026-01-21 19:30:00,$1.494000,$1.546929,-2.67%,9.6%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$50.87
77,ETHUSDT,2026-01-21 17:30:00,2026-01-21 19:30:00,$2896.480000,$2992.507857,-2.16%,19.9%,WIN,NO,DOGEUSDT,(blocked),(blocked),$143.58,$47.60
78,NEARUSDT,2026-01-22 15:15:00,2026-01-22 17:45:00,$1.497000,$1.528286,-2.03%,-15.8%,WIN,YES,,$1435.78,$30.01,$173.58,
79,ETHUSDT,2026-01-22 15:15:00,2026-01-22 18:15:00,$2910.150000,$2967.627857,-2.32%,-30.8%,WIN,NO,NEARUSDT,(blocked),(blocked),$173.58,$34.28
80,NEARUSDT,2026-01-23 19:15:00,2026-01-23 20:30:00,$1.504000,$1.492857,-2.02%,-27.8%,LOSS,YES,,$1735.84,$-12.86,$160.72,
81,NEARUSDT,2026-01-23 19:30:00,2026-01-23 20:30:00,$1.504000,$1.492857,-2.02%,6.1%,LOSS,NO,NEARUSDT,(blocked),(blocked),$160.72,$-11.91
82,NEARUSDT,2026-01-25 16:15:00,2026-01-25 18:00:00,$1.458000,$1.449857,-2.08%,8.9%,LOSS,YES,,$1607.24,$-8.98,$151.75,
83,NEARUSDT,2026-01-25 16:30:00,2026-01-25 18:00:00,$1.454000,$1.445536,-2.55%,14.6%,LOSS,NO,NEARUSDT,(blocked),(blocked),$151.75,$-8.83
84,NEARUSDT,2026-01-25 17:00:00,2026-01-25 18:00:00,$1.455000,$1.446107,-2.28%,17.4%,LOSS,NO,NEARUSDT,(blocked),(blocked),$151.75,$-9.27
85,NEARUSDT,2026-01-25 19:15:00,2026-01-25 19:45:00,$1.423000,$1.411911,-2.20%,-36.4%,LOSS,YES,,$1517.47,$-11.83,$139.92,
86,DOGEUSDT,2026-01-27 17:30:00,2026-01-27 18:30:00,$0.121800,$0.122410,-2.30%,2.8%,TIMEOUT,YES,,$1399.22,$7.01,$146.93,
87,NEARUSDT,2026-01-27 17:30:00,2026-01-27 18:30:00,$1.452000,$1.458000,-2.02%,3.7%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$146.93,$6.07
88,DOGEUSDT,2026-01-27 17:45:00,2026-01-27 18:30:00,$0.122150,$0.122410,-2.39%,11.5%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$146.93,$3.13
89,NEARUSDT,2026-01-27 17:45:00,2026-01-27 18:30:00,$1.455000,$1.458000,-3.13%,9.3%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$146.93,$3.03
90,ETHUSDT,2026-01-27 17:45:00,2026-01-27 18:30:00,$2928.890000,$2945.070000,-2.08%,18.3%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$146.93,$8.12
91,NEARUSDT,2026-01-27 18:00:00,2026-01-27 18:30:00,$1.457000,$1.458000,-2.28%,14.5%,TIMEOUT,NO,DOGEUSDT,(blocked),(blocked),$146.93,$1.01


ACTUAL TRADES DETAIL
Trade #,Coin,Entry Time,Exit Time,Entry Price,SL,TP,Exit Price,Result,Position Size,P&L,Capital Before,Capital After
1,DOGEUSDT,2026-01-02 11:45:00,2026-01-02 14:30:00,$0.129410,$0.128459,$0.133214,$0.133214,WIN,$1000.00,$29.39,$100.00,$129.39
2,DOGEUSDT,2026-01-03 07:15:00,2026-01-03 09:45:00,$0.139640,$0.138931,$0.142477,$0.142477,WIN,$1293.92,$26.29,$129.39,$155.68
3,DOGEUSDT,2026-01-04 19:00:00,2026-01-05 01:30:00,$0.148920,$0.148101,$0.152194,$0.152194,WIN,$1556.81,$34.23,$155.68,$189.91
4,NEARUSDT,2026-01-05 09:15:00,2026-01-05 10:30:00,$1.720000,$1.709339,$1.762643,$1.709339,LOSS,$1899.10,$-11.77,$189.91,$178.14
5,NEARUSDT,2026-01-05 17:15:00,2026-01-05 19:30:00,$1.727000,$1.713607,$1.780571,$1.780571,WIN,$1781.39,$55.26,$178.14,$233.40
6,NEARUSDT,2026-01-06 07:45:00,2026-01-06 11:15:00,$1.756000,$1.747214,$1.791143,$1.791143,WIN,$2333.98,$46.71,$233.40,$280.11
7,DOGEUSDT,2026-01-06 15:30:00,2026-01-06 15:45:00,$0.150430,$0.149340,$0.154791,$0.149340,LOSS,$2801.08,$-20.30,$280.11,$259.81
8,DOGEUSDT,2026-01-06 15:45:00,2026-01-06 16:00:00,$0.149900,$0.148748,$0.154509,$0.148748,LOSS,$2598.08,$-19.97,$259.81,$239.84
9,DOGEUSDT,2026-01-06 16:00:00,2026-01-06 16:15:00,$0.147390,$0.145847,$0.153564,$0.145847,LOSS,$2398.36,$-25.11,$239.84,$214.72
10,DOGEUSDT,2026-01-06 16:15:00,2026-01-06 16:45:00,$0.145790,$0.144201,$0.152148,$0.144201,LOSS,$2147.22,$-23.41,$214.72,$191.31
11,DOGEUSDT,2026-01-06 16:45:00,2026-01-06 17:45:00,$0.145440,$0.143754,$0.152186,$0.143754,LOSS,$1913.12,$-22.18,$191.31,$169.13
12,NEARUSDT,2026-01-07 00:45:00,2026-01-07 01:15:00,$1.768000,$1.759268,$1.802929,$1.759268,LOSS,$1691.29,$-8.35,$169.13,$160.78
13,DOGEUSDT,2026-01-07 10:00:00,2026-01-07 10:15:00,$0.148730,$0.147769,$0.152574,$0.147769,LOSS,$1607.75,$-10.39,$160.78,$150.39
14,DOGEUSDT,2026-01-08 06:15:00,2026-01-08 06:45:00,$0.143660,$0.142931,$0.146574,$0.142931,LOSS,$1503.86,$-7.63,$150.39,$142.76
15,DOGEUSDT,2026-01-08 06:45:00,2026-01-08 07:00:00,$0.142460,$0.141689,$0.145544,$0.141689,LOSS,$1427.60,$-7.73,$142.76,$135.03
16,DOGEUSDT,2026-01-08 12:00:00,2026-01-08 14:15:00,$0.139380,$0.138523,$0.142809,$0.138523,LOSS,$1350.34,$-8.30,$135.03,$126.73
17,NEARUSDT,2026-01-09 18:15:00,2026-01-10 04:00:00,$1.690000,$1.673018,$1.757929,$1.673018,LOSS,$1267.30,$-12.73,$126.73,$114.00
18,NEARUSDT,2026-01-11 20:15:00,2026-01-11 21:00:00,$1.692000,$1.683429,$1.726286,$1.683429,LOSS,$1139.96,$-5.77,$114.00,$108.22
19,NEARUSDT,2026-01-12 08:15:00,2026-01-12 08:30:00,$1.711000,$1.701679,$1.748286,$1.701679,LOSS,$1082.21,$-5.90,$108.22,$102.32
20,DOGEUSDT,2026-01-12 08:30:00,2026-01-12 14:15:00,$0.136100,$0.135482,$0.138571,$0.135482,LOSS,$1023.25,$-4.64,$102.32,$97.68
21,NEARUSDT,2026-01-15 03:30:00,2026-01-15 07:45:00,$1.748000,$1.738196,$1.787214,$1.787214,WIN,$976.81,$21.91,$97.68,$119.59
22,NEARUSDT,2026-01-15 14:30:00,2026-01-15 14:45:00,$1.772000,$1.763429,$1.806286,$1.763429,LOSS,$1195.95,$-5.78,$119.59,$113.81
23,DOGEUSDT,2026-01-15 15:15:00,2026-01-15 15:30:00,$0.141760,$0.141137,$0.144250,$0.141137,LOSS,$1138.10,$-5.00,$113.81,$108.81
24,NEARUSDT,2026-01-15 15:30:00,2026-01-15 15:45:00,$1.739000,$1.728071,$1.782714,$1.728071,LOSS,$1088.12,$-6.84,$108.81,$101.97
25,NEARUSDT,2026-01-15 16:00:00,2026-01-15 18:00:00,$1.734000,$1.721304,$1.784786,$1.721304,LOSS,$1019.74,$-7.47,$101.97,$94.51
26,NEARUSDT,2026-01-15 18:45:00,2026-01-16 07:15:00,$1.708000,$1.695250,$1.759000,$1.741000,TIMEOUT,$945.07,$18.26,$94.51,$112.77
27,NEARUSDT,2026-01-16 15:30:00,2026-01-16 15:45:00,$1.684000,$1.675321,$1.718714,$1.675321,LOSS,$1127.67,$-5.81,$112.77,$106.96
28,NEARUSDT,2026-01-16 15:45:00,2026-01-16 17:15:00,$1.685000,$1.675786,$1.721857,$1.675786,LOSS,$1069.55,$-5.85,$106.96,$101.11
29,DOGEUSDT,2026-01-18 23:15:00,2026-01-18 23:30:00,$0.133390,$0.132864,$0.135492,$0.132864,LOSS,$1011.07,$-3.98,$101.11,$97.12
30,DOGEUSDT,2026-01-18 23:30:00,2026-01-18 23:45:00,$0.133280,$0.132692,$0.135631,$0.132692,LOSS,$971.23,$-4.28,$97.12,$92.84
31,DOGEUSDT,2026-01-18 23:45:00,2026-01-19 00:00:00,$0.131560,$0.130893,$0.134230,$0.130893,LOSS,$928.41,$-4.71,$92.84,$88.13
32,DOGEUSDT,2026-01-19 00:00:00,2026-01-19 12:30:00,$0.126230,$0.124929,$0.131435,$0.127990,TIMEOUT,$881.30,$12.29,$88.13,$100.42
33,DOGEUSDT,2026-01-21 12:15:00,2026-01-21 14:00:00,$0.121660,$0.121249,$0.123306,$0.123306,WIN,$1004.18,$13.58,$100.42,$114.00
34,DOGEUSDT,2026-01-21 16:30:00,2026-01-21 17:00:00,$0.121240,$0.120318,$0.124930,$0.120318,LOSS,$1140.02,$-8.67,$114.00,$105.33
35,DOGEUSDT,2026-01-21 17:00:00,2026-01-21 19:15:00,$0.120490,$0.119396,$0.124866,$0.124866,WIN,$1053.27,$38.25,$105.33,$143.58
36,NEARUSDT,2026-01-22 15:15:00,2026-01-22 17:45:00,$1.497000,$1.489179,$1.528286,$1.528286,WIN,$1435.78,$30.01,$143.58,$173.58
37,NEARUSDT,2026-01-23 19:15:00,2026-01-23 20:30:00,$1.504000,$1.492857,$1.548571,$1.492857,LOSS,$1735.84,$-12.86,$173.58,$160.72
38,NEARUSDT,2026-01-25 16:15:00,2026-01-25 18:00:00,$1.458000,$1.449857,$1.490571,$1.449857,LOSS,$1607.24,$-8.98,$160.72,$151.75
39,NEARUSDT,2026-01-25 19:15:00,2026-01-25 19:45:00,$1.423000,$1.411911,$1.467357,$1.411911,LOSS,$1517.47,$-11.83,$151.75,$139.92
40,DOGEUSDT,2026-01-27 17:30:00,2026-01-27 18:30:00,$0.121800,$0.121005,$0.124980,$0.122410,TIMEOUT,$1399.22,$7.01,$139.92,$146.93


MISSED SIGNALS DETAIL
Missed #,Coin,Entry Time,Exit Time,Entry Price,Exit Price,Result,Blocked By,Capital At Time,Hypothetical P&L,Hypothetical Capital After
1,DOGEUSDT,2026-01-02 12:00:00,2026-01-02 14:30:00,$0.129570,$0.133359,WIN,DOGEUSDT,$129.39,$37.83,$167.23
2,DOGEUSDT,2026-01-02 12:15:00,2026-01-02 14:30:00,$0.129890,$0.133704,WIN,DOGEUSDT,$129.39,$38.00,$167.39
3,NEARUSDT,2026-01-03 07:15:00,2026-01-03 12:45:00,$1.662000,$1.695857,WIN,DOGEUSDT,$155.68,$31.71,$187.40
4,DOGEUSDT,2026-01-03 07:30:00,2026-01-03 08:00:00,$0.140200,$0.139479,LOSS,DOGEUSDT,$155.68,$-8.00,$147.68
5,NEARUSDT,2026-01-06 15:30:00,2026-01-06 16:00:00,$1.791000,$1.778196,LOSS,DOGEUSDT,$259.81,$-18.57,$241.24
6,NEARUSDT,2026-01-06 16:15:00,2026-01-06 16:30:00,$1.774000,$1.759964,LOSS,DOGEUSDT,$191.31,$-15.14,$176.18
7,DOGEUSDT,2026-01-06 16:30:00,2026-01-06 17:45:00,$0.145230,$0.143589,LOSS,DOGEUSDT,$191.31,$-21.62,$169.69
8,NEARUSDT,2026-01-06 16:30:00,2026-01-06 17:45:00,$1.763000,$1.748161,LOSS,DOGEUSDT,$191.31,$-16.10,$175.21
9,DOGEUSDT,2026-01-06 17:00:00,2026-01-06 17:45:00,$0.145760,$0.144046,LOSS,DOGEUSDT,$169.13,$-19.89,$149.24
10,NEARUSDT,2026-01-07 01:00:00,2026-01-07 01:15:00,$1.767000,$1.758268,LOSS,NEARUSDT,$160.78,$-7.95,$152.83
11,DOGEUSDT,2026-01-09 19:00:00,2026-01-10 07:30:00,$0.139350,$0.140130,TIMEOUT,NEARUSDT,$114.00,$6.38,$120.38
12,NEARUSDT,2026-01-09 19:00:00,2026-01-10 04:00:00,$1.688000,$1.673536,LOSS,NEARUSDT,$114.00,$-9.77,$104.23
